Object: Ruin2_0, Sprite: Ruin2_0, Right Edge X: 101.444
Object: Enemy, Sprite: enemy_0, Right Edge X: 119.8913
Object: Ground_3, Sprite: ground_0, Right Edge X: 20.567
Object: Ground_17, Sprite: ground_0, Right Edge X: 198.353
Object: Gun, Sprite: gun_0, Right Edge X: 0.7864
Object: Ruin3_1, Sprite: Ruin3_0, Right Edge X: 81.77678
Object: Enemy, Sprite: enemy_0, Right Edge X: 131.8913
Object: Enemy, Sprite: enemy_0, Right Edge X: 89.89125
Object: Ground_1, Sprite: ground_0, Right Edge X: -4.831
Object: Enemy, Sprite: enemy_0, Right Edge X: 149.8913
Object: Prop2_2, Sprite: Prop2_0, Right Edge X: 15.67372
Object: Ground_19, Sprite: ground_0, Right Edge X: 223.751
Object: Ground_12, Sprite: ground_0, Right Edge X: 134.858
Object: Ground_29, Sprite: ground_0, Right Edge X: 350.741
Object: Prop2_0, Sprite: Prop2_0, Right Edge X: 115.5402
Object: Ground_26, Sprite: ground_0, Right Edge X: 312.644
Object: Ground_25, Sprite: ground_0, Right Edge X: 299.945
Object: Ground_2, Sprite: ground_0, Right Edge X: 7.868001
Object: Ground_22, Sprite: ground_0, Right Edge X: 261.848
Object: Ruin5_0, Sprite: Ruin5_0, Right Edge X: 30.74204
Object: Ground_16, Sprite: ground_0, Right Edge X: 185.654
Object: Ground_23, Sprite: ground_0, Right Edge X: 274.547
Object: Ruin4_1, Sprite: Ruin4_0, Right Edge X: 103.6319
Object: GenProp_Heli, Sprite: Heli_0, Right Edge X: 39.096
Object: Background_5, Sprite: background_0, Right Edge X: 71.00002
Object: Ruin3_2, Sprite: Ruin3_0, Right Edge X: 74.02734
Object: Background_11, Sprite: background_0, Right Edge X: 175.5334
Object: Ground_7, Sprite: ground_0, Right Edge X: 71.36301
Object: Ground_14, Sprite: ground_0, Right Edge X: 160.256
Object: Vehicle_Dummy, Sprite: vehicle_0, Right Edge X: 2.6145
Object: Enemy, Sprite: enemy_0, Right Edge X: 209.8913
Object: Enemy, Sprite: enemy_0, Right Edge X: 113.8913
Object: Enemy, Sprite: enemy_0, Right Edge X: 143.8913
Object: Background_2, Sprite: background_0, Right Edge X: 18.73334
Object: Player, Sprite: player_0, Right Edge X: 1.494
Object: Enemy, Sprite: enemy_0, Right Edge X: 155.8913
Object: Background_10, Sprite: background_0, Right Edge X: 158.1111
Object: Ground_20, Sprite: ground_0, Right Edge X: 236.45
Object: Ground_28, Sprite: ground_0, Right Edge X: 338.042
Object: Ground_10, Sprite: ground_0, Right Edge X: 109.46
Object: Enemy, Sprite: enemy_0, Right Edge X: 203.8913
Object: Ground, Sprite: ground_0, Right Edge X: -17.53
Object: Enemy, Sprite: enemy_0, Right Edge X: 101.8913
Object: Background_9, Sprite: background_0, Right Edge X: 140.6889
Object: Prop1_1, Sprite: Prop1_0, Right Edge X: 106.4184
Object: Enemy, Sprite: enemy_0, Right Edge X: 125.8913
Object: Enemy, Sprite: enemy_0, Right Edge X: 47.89125
Object: Background_15, Sprite: background_0, Right Edge X: 245.2223
Object: Ground_4, Sprite: ground_0, Right Edge X: 33.266
Object: Background_14, Sprite: background_0, Right Edge X: 227.8
Object: Enemy, Sprite: enemy_0, Right Edge X: 77.89125
Object: Ruin2_1, Sprite: Ruin2_0, Right Edge X: 118.6209
Object: Enemy, Sprite: enemy_0, Right Edge X: 137.8913
Object: Enemy, Sprite: enemy_0, Right Edge X: 41.89125
Object: Enemy, Sprite: enemy_0, Right Edge X: 173.8913
Object: Ruin1_1, Sprite: Ruin1_0, Right Edge X: 118.915
Object: Ground_15, Sprite: ground_0, Right Edge X: 172.955
Object: Ground_5, Sprite: ground_0, Right Edge X: 45.965
Object: Prop2_3, Sprite: Prop2_0, Right Edge X: 62.73402
Object: Ruin5_2, Sprite: Ruin5_0, Right Edge X: 39.10995
Object: Background_6, Sprite: background_0, Right Edge X: 88.42223
Object: Background_7, Sprite: background_0, Right Edge X: 105.8445
Object: Ruin4_0, Sprite: Ruin4_0, Right Edge X: 47.29766
Object: Background_8, Sprite: background_0, Right Edge X: 123.2667
Object: Enemy, Sprite: enemy_0, Right Edge X: 53.89125
Object: Prop2_1, Sprite: Prop2_0, Right Edge X: 33.20116
Object: Enemy, Sprite: enemy_0, Right Edge X: 161.8913
Object: Ground_9, Sprite: ground_0, Right Edge X: 96.761
Object: Ground_11, Sprite: ground_0, Right Edge X: 122.159
Object: Enemy, Sprite: enemy_0, Right Edge X: 167.8913
Object: Ground_18, Sprite: ground_0, Right Edge X: 211.052
Object: Ruin4_2, Sprite: Ruin4_0, Right Edge X: 77.89169
Object: Ground_8, Sprite: ground_0, Right Edge X: 84.062
Object: Enemy, Sprite: enemy_0, Right Edge X: 197.8913
Object: Prop1_0, Sprite: Prop1_0, Right Edge X: 116.4765
Object: Background_12, Sprite: background_0, Right Edge X: 192.9556
Object: Enemy, Sprite: enemy_0, Right Edge X: 83.89125
Object: Enemy, Sprite: enemy_0, Right Edge X: 59.89125
Object: Ground_13, Sprite: ground_0, Right Edge X: 147.557
Object: Enemy, Sprite: enemy_0, Right Edge X: 71.89125
Object: Enemy, Sprite: enemy_0, Right Edge X: 95.89125
Object: Enemy, Sprite: enemy_0, Right Edge X: 107.8913
Object: Background_1, Sprite: background_0, Right Edge X: 1.311113
Object: Prop1_3, Sprite: Prop1_0, Right Edge X: 69.46505
Object: Ruin3_0, Sprite: Ruin3_0, Right Edge X: 81.88929
Object: GenProp_TrafficLight, Sprite: TrafficLight_0, Right Edge X: 72.048
Object: Enemy, Sprite: enemy_0, Right Edge X: 65.89125
Object: Enemy, Sprite: enemy_0, Right Edge X: 215.8913
Object: Enemy, Sprite: enemy_0, Right Edge X: 185.8913
Object: Enemy, Sprite: enemy_0, Right Edge X: 179.8913
Object: Background_3, Sprite: background_0, Right Edge X: 36.15556
Object: Enemy, Sprite: enemy_0, Right Edge X: 191.8913
Object: Ruin1_0, Sprite: Ruin1_0, Right Edge X: 130.4774
Object: Prop1_2, Sprite: Prop1_0, Right Edge X: 74.95872
Object: Background_13, Sprite: background_0, Right Edge X: 210.3778
Object: Ground_24, Sprite: ground_0, Right Edge X: 287.246
Object: Background, Sprite: background_0, Right Edge X: -16.11111
Object: Ground_27, Sprite: ground_0, Right Edge X: 325.343
Object: Ground_30, Sprite: ground_0, Right Edge X: 363.44
Object: Background_4, Sprite: background_0, Right Edge X: 53.57779
Object: Ruin5_1, Sprite: Ruin5_0, Right Edge X: 67.74738
Object: GenProp_NeonSign, Sprite: NeonSign_0, Right Edge X: 108.072
Object: Ground_6, Sprite: ground_0, Right Edge X: 58.664
Object: Ground_21, Sprite: ground_0, Right Edge X: 249.149
